pokedex_names,elementType,species,height,weight,gender,eggGroups,eggCycle,base_hp,base_attack,base_defense,base_spAtk,base_spDef,base_speed,min100_hp,min100_attack,min100_defense,min100_spAtk,min100_spDef,min100_speed,max100_hp,max100_attack,max100_defense,max100_spAtk,max100_spDef,max100_speed,type_normal,type_fire,type_water,type_electricity,type_grass,type_ice,type_fighting,type_poison,type_ground,type_flying,type_psychic,type_bug,type_rock,type_ghost,type_dragon,type_dark,type_steel,type_fairy
clefairy,Fairy,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs),"25% male, 75% female",Fairy,"10				(2,314–2,570 steps)",70,45,48,60,65,35,250,85,90,112,121,67,344,207,214,240,251,185,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
clefable,Fairy,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs),"25% male, 75% female",Fairy,"10				(2,314–2,570 steps)",95,70,73,95,90,60,300,130,135,175,166,112,394,262,269,317,306,240,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
vulpix,Fire,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),"25% male, 75% female",Field,"20				(4,884–5,140 steps)",38,41,40,50,65,65,186,78,76,94,121,121,280,199,196,218,251,251,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
ninetales,Fire,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),"25% male, 75% female",Field,"20				(4,884–5,140 steps)",73,76,75,81,100,100,256,141,139,150,184,184,350,276,273,287,328,328,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
jigglypuff,Normal			Fairy,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),"25% male, 75% female",Fairy,"10				(2,314–2,570 steps)",115,45,20,45,25,20,340,85,40,85,49,40,434,207,152,207,163,152,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
wigglytuff,Normal			Fairy,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs),"25% male, 75% female",Fairy,"10				(2,314–2,570 steps)",140,70,45,85,50,45,390,130,85,157,94,85,484,262,207,295,218,207,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
zubat,Poison			Flying,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",40,45,35,30,40,55,190,85,67,58,76,103,284,207,185,174,196,229,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
golbat,Poison			Flying,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),"50% male, 50% female",Flying,"15				(3,599–3,855 steps)",75,80,70,65,75,90,260,148,130,121,139,166,354,284,262,251,273,306,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
oddish,Grass			Poison,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs),"50% male, 50% female",Grass,"20				(4,884–5,140 steps)",45,50,55,75,65,30,200,94,103,139,121,58,294,218,229,273,251,174,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
gloom,Grass			Poison,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),"50% male, 50% female",Grass,"20				(4,884–5,140 steps)",60,65,70,85,75,40,230,121,130,157,139,76,324,251,262,295,273,196,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
vileplume,Grass			Poison,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),"50% male, 50% female",Grass,"20				(4,884–5,140 steps)",75,80,85,110,90,50,260,148,157,202,166,94,354,284,295,350,306,218,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
paras,Bug			Grass,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs),"50% male, 50% female","Bug, Grass","20				(4,884–5,140 steps)",35,70,55,45,55,25,180,130,103,85,103,49,274,262,229,207,229,163,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
parasect,Bug			Grass,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),"50% male, 50% female","Bug, Grass","20				(4,884–5,140 steps)",60,95,80,60,80,30,230,175,148,112,148,58,324,317,284,240,284,174,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
venonat,Bug			Poison,Insect Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs),"50% male, 50% female",Bug,"20				(4,884–5,140 steps)",60,55,50,40,55,45,230,103,94,76,103,85,324,229,218,196,229,207,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
venomoth,Bug			Poison,Poison Moth Pokémon,1.5 m (4′11″),12.5 kg (27.6 lbs),"50% male, 50% female",Bug,"20				(4,884–5,140 steps)",70,65,60,90,75,90,250,121,112,166,139,166,344,251,240,306,273,306,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
diglett,Ground,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",10,55,25,35,45,95,130,103,49,67,85,175,224,229,163,185,207,317,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
dugtrio,Ground,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",35,100,50,50,70,120,180,184,94,94,130,220,274,328,218,218,262,372,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
meowth,Normal,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",40,45,35,40,40,90,190,85,67,76,76,166,284,207,185,196,196,306,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
persian,Normal,Classy Cat Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",65,70,60,65,65,115,240,130,112,121,121,211,334,262,240,251,251,361,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
psyduck,Water,Duck Pokémon,0.8 m (2′07″),19.6 kg (43.2 lbs),"50% male, 50% female","Field, Water 1","20				(4,884–5,140 steps)",50,52,48,65,50,55,210,98,90,121,94,103,304,223,214,251,218,229,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
golduck,Water,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),"50% male, 50% female","Field, Water 1","20				(4,884–5,140 steps)",80,82,78,95,80,85,270,152,144,175,148,157,364,289,280,317,284,295,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
mankey,Fighting,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",40,80,35,35,45,70,190,148,67,67,85,130,284,284,185,185,207,262,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
primeape,Fighting,Pig Monkey Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",65,105,60,60,70,95,240,193,112,112,130,175,334,339,240,240,262,317,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
growlithe,Fire,Puppy Pokémon,0.7 m (2′04″),19.0 kg (41.9 lbs),"75% male, 25% female",Field,"20				(4,884–5,140 steps)",55,70,45,70,50,60,220,130,85,130,94,112,314,262,207,262,218,240,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
arcanine,Fire,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),"75% male, 25% female",Field,"20				(4,884–5,140 steps)",90,110,80,100,80,95,290,202,148,184,148,175,384,350,284,328,284,317,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
poliwag,Water,Tadpole Pokémon,0.6 m (2′00″),12.4 kg (27.3 lbs),"50% male, 50% female",Water 1,"20				(4,884–5,140 steps)",40,50,40,40,40,90,190,94,76,76,76,166,284,218,196,196,196,306,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
poliwhirl,Water,Tadpole Pokémon,1.0 m (3′03″),20.0 kg (44.1 lbs),"50% male, 50% female",Water 1,"20				(4,884–5,140 steps)",65,65,65,50,50,90,240,121,121,94,94,166,334,251,251,218,218,306,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
poliwrath,Water			Fighting,Tadpole Pokémon,1.3 m (4′03″),54.0 kg (119.0 lbs),"50% male, 50% female",Water 1,"20				(4,884–5,140 steps)",90,95,95,70,90,70,290,175,175,130,166,130,384,317,317,262,306,262,1,0.5,0,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
abra,Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",25,20,15,105,55,90,160,40,31,193,103,166,254,152,141,339,229,306,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
kadabra,Psychic,Psi Pokémon,1.3 m (4′03″),56.5 kg (124.6 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",40,35,30,120,70,105,190,67,58,220,130,193,284,185,174,372,262,339,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
alakazam,Psychic,Psi Pokémon,1.5 m (4′11″),48.0 kg (105.8 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",55,50,45,135,95,120,220,94,85,247,175,220,314,218,207,405,317,372,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
machop,Fighting,Superpower Pokémon,0.8 m (2′07″),19.5 kg (43.0 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",70,80,50,35,35,35,250,148,94,67,67,67,344,284,218,185,185,185,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
machoke,Fighting,Superpower Pokémon,1.5 m (4′11″),70.5 kg (155.4 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",80,100,70,50,60,45,270,184,130,94,112,85,364,328,262,218,240,207,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
machamp,Fighting,Superpower Pokémon,1.6 m (5′03″),130.0 kg (286.6 lbs),"75% male, 25% female",Human-Like,"20				(4,884–5,140 steps)",90,130,80,65,85,55,290,238,148,121,157,103,384,394,284,251,295,229,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
bellsprout,Grass			Poison,Flower Pokémon,0.7 m (2′04″),4.0 kg (8.8 lbs),"50% male, 50% female",Grass,"20				(4,884–5,140 steps)",50,75,35,70,30,40,210,139,67,130,58,76,304,273,185,262,174,196,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
weepinbell,Grass			Poison,Flycatcher Pokémon,1.0 m (3′03″),6.4 kg (14.1 lbs),"50% male, 50% female",Grass,"20				(4,884–5,140 steps)",65,90,50,85,45,55,240,166,94,157,85,103,334,306,218,295,207,229,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
victreebel,Grass			Poison,Flycatcher Pokémon,1.7 m (5′07″),15.5 kg (34.2 lbs),"50% male, 50% female",Grass,"20				(4,884–5,140 steps)",80,105,65,100,70,70,270,193,121,184,130,130,364,339,251,328,262,262,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
tentacool,Water			Poison,Jellyfish Pokémon,0.9 m (2′11″),45.5 kg (100.3 lbs),"50% male, 50% female",Water 3,"20				(4,884–5,140 steps)",40,40,35,50,100,70,190,76,67,94,184,130,284,196,185,218,328,262,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
tentacruel,Water			Poison,Jellyfish Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),"50% male, 50% female",Water 3,"20				(4,884–5,140 steps)",80,70,65,80,120,100,270,130,121,148,220,184,364,262,251,284,372,328,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
geodude,Rock			Ground,Rock Pokémon,0.4 m (1′04″),20.0 kg (44.1 lbs),"50% male, 50% female",Mineral,"15				(3,599–3,855 steps)",40,80,100,30,30,20,190,148,184,58,58,40,284,284,328,174,174,152,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
graveler,Rock			Ground,Rock Pokémon,1.0 m (3′03″),105.0 kg (231.5 lbs),"50% male, 50% female",Mineral,"15				(3,599–3,855 steps)",55,95,115,45,45,35,220,175,211,85,85,67,314,317,361,207,207,185,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
golem,Rock			Ground,Megaton Pokémon,1.4 m (4′07″),300.0 kg (661.4 lbs),"50% male, 50% female",Mineral,"15				(3,599–3,855 steps)",80,120,130,55,65,45,270,220,238,103,121,85,364,372,394,229,251,207,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
ponyta,Fire,Fire Horse Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",50,85,55,65,65,90,210,157,103,121,121,166,304,295,229,251,251,306,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
rapidash,Fire,Fire Horse Pokémon,1.7 m (5′07″),95.0 kg (209.4 lbs),"50% male, 50% female",Field,"20				(4,884–5,140 steps)",65,100,70,80,80,105,240,184,130,148,148,193,334,328,262,284,284,339,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
slowpoke,Water			Psychic,Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs),"50% male, 50% female","Monster, Water 1","20				(4,884–5,140 steps)",90,65,65,40,40,15,290,121,121,76,76,31,384,251,251,196,196,141,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
slowbro,Water			Psychic,Hermit Crab Pokémon,1.6 m (5′03″),78.5 kg (173.1 lbs),"50% male, 50% female","Monster, Water 1","20				(4,884–5,140 steps)",95,75,110,100,80,30,300,139,202,184,148,58,394,273,350,328,284,174,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
magnemite,Electric			Steel,Magnet Pokémon,0.3 m (1′00″),6.0 kg (13.2 lbs),Genderless,Mineral,"20				(4,884–5,140 steps)",25,35,70,95,55,45,160,67,130,175,103,85,254,185,262,317,229,207,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
magneton,Electric			Steel,Magnet Pokémon,1.0 m (3′03″),60.0 kg (132.3 lbs),Genderless,Mineral,"20				(4,884–5,140 steps)",50,60,95,120,70,70,210,112,175,220,130,130,304,240,317,372,262,262,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
farfetchd,Normal			Flying,Wild Duck Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs),"50% male, 50% female","Field, Flying","20				(4,884–5,140 steps)",52,90,55,58,62,60,214,166,103,108,116,112,308,306,229,236,245,240,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
doduo,Normal			Flying,Twin Bird Pokémon,1.4 m (4′07″),39.2 kg (86.4 lbs),"50% male, 50% female",Flying,"20				(4,884–5,140 steps)",35,85,45,35,35,75,180,157,85,67,67,139,274,295,207,185,185,273,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
dodrio,Normal			Flying,Triple Bird Pokémon,1.8 m (5′11″),85.2 kg (187.8 lbs),"50% male, 50% female",Flying,"20				(4,884–5,140 steps)",60,110,70,60,60,110,230,202,130,112,112,202,324,350,262,240,240,350,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
