number,url_name,name,alt_name,image_url
88,grimer,Grimer,Grimer,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/grimer.avif
89,muk,Muk,Muk,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/muk.avif
90,shellder,Shellder,Shellder,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/shellder.avif
91,cloyster,Cloyster,Cloyster,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cloyster.avif
92,gastly,Gastly,Gastly,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gastly.avif
93,haunter,Haunter,Haunter,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/haunter.avif
94,gengar,Gengar,Gengar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gengar.avif
95,onix,Onix,Onix,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/onix.avif
96,drowzee,Drowzee,Drowzee,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/drowzee.avif
97,hypno,Hypno,Hypno,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hypno.avif
98,krabby,Krabby,Krabby,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/krabby.avif
99,kingler,Kingler,Kingler,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kingler.avif
100,voltorb,Voltorb,Voltorb,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/voltorb.avif
101,electrode,Electrode,Electrode,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/electrode.avif
102,exeggcute,Exeggcute,Exeggcute,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/exeggcute.avif
103,exeggutor,Exeggutor,Exeggutor,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/exeggutor.avif
104,cubone,Cubone,Cubone,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cubone.avif
105,marowak,Marowak,Marowak,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/marowak.avif
106,hitmonlee,Hitmonlee,Hitmonlee,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hitmonlee.avif
107,hitmonchan,Hitmonchan,Hitmonchan,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hitmonchan.avif
108,lickitung,Lickitung,Lickitung,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lickitung.avif
109,koffing,Koffing,Koffing,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/koffing.avif
110,weezing,Weezing,Weezing,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/weezing.avif
111,rhyhorn,Rhyhorn,Rhyhorn,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rhyhorn.avif
112,rhydon,Rhydon,Rhydon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/rhydon.avif
113,chansey,Chansey,Chansey,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/chansey.avif
114,tangela,Tangela,Tangela,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tangela.avif
115,kangaskhan,Kangaskhan,Kangaskhan,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kangaskhan.avif
116,horsea,Horsea,Horsea,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/horsea.avif
117,seadra,Seadra,Seadra,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/seadra.avif
118,goldeen,Goldeen,Goldeen,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/goldeen.avif
119,seaking,Seaking,Seaking,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/seaking.avif
120,staryu,Staryu,Staryu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/staryu.avif
121,starmie,Starmie,Starmie,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/starmie.avif
122,mr-mime,Mr. Mime,Mr. Mime,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mr-mime.avif
123,scyther,Scyther,Scyther,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/scyther.avif
124,jynx,Jynx,Jynx,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/jynx.avif
125,electabuzz,Electabuzz,Electabuzz,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/electabuzz.avif
126,magmar,Magmar,Magmar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magmar.avif
127,pinsir,Pinsir,Pinsir,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pinsir.avif
128,tauros,Tauros,Tauros,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tauros.avif
129,magikarp,Magikarp,Magikarp,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magikarp.avif
130,gyarados,Gyarados,Gyarados,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gyarados.avif
131,lapras,Lapras,Lapras,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lapras.avif
132,ditto,Ditto,Ditto,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ditto.avif
133,eevee,Eevee,Eevee,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/eevee.avif
134,vaporeon,Vaporeon,Vaporeon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vaporeon.avif
135,jolteon,Jolteon,Jolteon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/jolteon.avif
136,flareon,Flareon,Flareon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/flareon.avif
137,porygon,Porygon,Porygon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/porygon.avif
138,omanyte,Omanyte,Omanyte,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/omanyte.avif
139,omastar,Omastar,Omastar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/omastar.avif
140,kabuto,Kabuto,Kabuto,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kabuto.avif
141,kabutops,Kabutops,Kabutops,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kabutops.avif
142,aerodactyl,Aerodactyl,Aerodactyl,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/aerodactyl.avif
143,snorlax,Snorlax,Snorlax,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/snorlax.avif
144,articuno,Articuno,Articuno,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/articuno.avif
145,zapdos,Zapdos,Zapdos,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/zapdos.avif
146,moltres,Moltres,Moltres,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/moltres.avif
147,dratini,Dratini,Dratini,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dratini.avif
148,dragonair,Dragonair,Dragonair,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dragonair.avif
149,dragonite,Dragonite,Dragonite,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dragonite.avif
150,mewtwo,Mewtwo,Mewtwo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mewtwo.avif
151,mew,Mew,Mew,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mew.avif
152,chikorita,Chikorita,Chikorita,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/chikorita.avif
153,bayleef,Bayleef,Bayleef,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bayleef.avif
154,meganium,Meganium,Meganium,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/meganium.avif
155,cyndaquil,Cyndaquil,Cyndaquil,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cyndaquil.avif
156,quilava,Quilava,Quilava,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/quilava.avif
157,typhlosion,Typhlosion,Typhlosion,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/typhlosion.avif
158,totodile,Totodile,Totodile,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/totodile.avif
159,croconaw,Croconaw,Croconaw,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/croconaw.avif
160,feraligatr,Feraligatr,Feraligatr,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/feraligatr.avif
161,sentret,Sentret,Sentret,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sentret.avif
162,furret,Furret,Furret,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/furret.avif
163,hoothoot,Hoothoot,Hoothoot,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hoothoot.avif
164,noctowl,Noctowl,Noctowl,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/noctowl.avif
165,ledyba,Ledyba,Ledyba,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ledyba.avif
166,ledian,Ledian,Ledian,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ledian.avif
167,spinarak,Spinarak,Spinarak,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/spinarak.avif
168,ariados,Ariados,Ariados,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ariados.avif
169,crobat,Crobat,Crobat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/crobat.avif
170,chinchou,Chinchou,Chinchou,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/chinchou.avif
171,lanturn,Lanturn,Lanturn,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lanturn.avif
172,pichu,Pichu,Pichu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pichu.avif
173,cleffa,Cleffa,Cleffa,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cleffa.avif
174,igglybuff,Igglybuff,Igglybuff,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/igglybuff.avif
175,togepi,Togepi,Togepi,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/togepi.avif
176,togetic,Togetic,Togetic,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/togetic.avif
177,natu,Natu,Natu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/natu.avif
178,xatu,Xatu,Xatu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/xatu.avif
179,mareep,Mareep,Mareep,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mareep.avif
180,flaaffy,Flaaffy,Flaaffy,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/flaaffy.avif
181,ampharos,Ampharos,Ampharos,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ampharos.avif
182,bellossom,Bellossom,Bellossom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/bellossom.avif
183,marill,Marill,Marill,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/marill.avif
184,azumarill,Azumarill,Azumarill,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/azumarill.avif
185,sudowoodo,Sudowoodo,Sudowoodo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sudowoodo.avif
186,politoed,Politoed,Politoed,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/politoed.avif
187,hoppip,Hoppip,Hoppip,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hoppip.avif
188,skiploom,Skiploom,Skiploom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/skiploom.avif
189,jumpluff,Jumpluff,Jumpluff,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/jumpluff.avif
190,aipom,Aipom,Aipom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/aipom.avif
191,sunkern,Sunkern,Sunkern,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sunkern.avif
192,sunflora,Sunflora,Sunflora,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sunflora.avif
193,yanma,Yanma,Yanma,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/yanma.avif
194,wooper,Wooper,Wooper,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wooper.avif
195,quagsire,Quagsire,Quagsire,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/quagsire.avif
196,espeon,Espeon,Espeon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/espeon.avif
197,umbreon,Umbreon,Umbreon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/umbreon.avif
198,murkrow,Murkrow,Murkrow,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/murkrow.avif
199,slowking,Slowking,Slowking,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slowking.avif
200,misdreavus,Misdreavus,Misdreavus,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/misdreavus.avif
201,unown,Unown,Unown,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/unown.avif
202,wobbuffet,Wobbuffet,Wobbuffet,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wobbuffet.avif
203,girafarig,Girafarig,Girafarig,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/girafarig.avif
204,pineco,Pineco,Pineco,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pineco.avif
205,forretress,Forretress,Forretress,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/forretress.avif
206,dunsparce,Dunsparce,Dunsparce,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dunsparce.avif
207,gligar,Gligar,Gligar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gligar.avif
208,steelix,Steelix,Steelix,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/steelix.avif
209,snubbull,Snubbull,Snubbull,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/snubbull.avif
210,granbull,Granbull,Granbull,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/granbull.avif
211,qwilfish,Qwilfish,Qwilfish,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/qwilfish.avif
212,scizor,Scizor,Scizor,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/scizor.avif
213,shuckle,Shuckle,Shuckle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/shuckle.avif
214,heracross,Heracross,Heracross,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/heracross.avif
215,sneasel,Sneasel,Sneasel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sneasel.avif
216,teddiursa,Teddiursa,Teddiursa,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/teddiursa.avif
217,ursaring,Ursaring,Ursaring,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ursaring.avif
218,slugma,Slugma,Slugma,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slugma.avif
219,magcargo,Magcargo,Magcargo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magcargo.avif
220,swinub,Swinub,Swinub,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/swinub.avif
221,piloswine,Piloswine,Piloswine,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/piloswine.avif
222,corsola,Corsola,Corsola,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/corsola.avif
223,remoraid,Remoraid,Remoraid,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/remoraid.avif
224,octillery,Octillery,Octillery,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/octillery.avif
225,delibird,Delibird,Delibird,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/delibird.avif
226,mantine,Mantine,Mantine,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mantine.avif
227,skarmory,Skarmory,Skarmory,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/skarmory.avif
228,houndour,Houndour,Houndour,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/houndour.avif
229,houndoom,Houndoom,Houndoom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/houndoom.avif
230,kingdra,Kingdra,Kingdra,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kingdra.avif
231,phanpy,Phanpy,Phanpy,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/phanpy.avif
232,donphan,Donphan,Donphan,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/donphan.avif
233,porygon2,Porygon2,Porygon2,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/porygon2.avif
234,stantler,Stantler,Stantler,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/stantler.avif
235,smeargle,Smeargle,Smeargle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/smeargle.avif
236,tyrogue,Tyrogue,Tyrogue,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tyrogue.avif
237,hitmontop,Hitmontop,Hitmontop,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hitmontop.avif
238,smoochum,Smoochum,Smoochum,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/smoochum.avif
239,elekid,Elekid,Elekid,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/elekid.avif
240,magby,Magby,Magby,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magby.avif
241,miltank,Miltank,Miltank,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/miltank.avif
242,blissey,Blissey,Blissey,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blissey.avif
243,raikou,Raikou,Raikou,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raikou.avif
244,entei,Entei,Entei,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/entei.avif
245,suicune,Suicune,Suicune,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/suicune.avif
246,larvitar,Larvitar,Larvitar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/larvitar.avif
247,pupitar,Pupitar,Pupitar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pupitar.avif
248,tyranitar,Tyranitar,Tyranitar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tyranitar.avif
249,lugia,Lugia,Lugia,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lugia.avif
